x,y,z,T,Ux,Uy,Uz,p,source
3.4500,0.8500,0.0500,295.932,-0.1113,0.3055,-0.0064,100032.00,vane25
3.5500,0.8500,0.0500,295.931,-0.0956,0.2980,-0.0070,100032.00,vane25
3.6500,0.8500,0.0500,295.933,-0.0777,0.2894,-0.0077,100032.00,vane25
3.7500,0.8500,0.0500,295.936,-0.0577,0.2805,-0.0084,100032.00,vane25
3.8500,0.8500,0.0500,295.941,-0.0353,0.2723,-0.0087,100032.00,vane25
3.9500,0.8500,0.0500,295.946,-0.0136,0.2653,-0.0091,100032.00,vane25
4.0500,0.8500,0.0500,295.946,0.0136,0.2653,-0.0091,100032.00,vane25
4.1500,0.8500,0.0500,295.941,0.0353,0.2723,-0.0087,100032.00,vane25
4.2500,0.8500,0.0500,295.936,0.0577,0.2805,-0.0084,100032.00,vane25
4.3500,0.8500,0.0500,295.933,0.0777,0.2894,-0.0077,100032.00,vane25
