ix,iz,x,z,T
74,7,592.0,56.0,23.945
75,7,600.0,56.0,23.945
76,7,608.0,56.0,23.945
77,7,616.0,56.0,23.901
78,7,624.0,56.0,23.901
79,7,632.0,56.0,23.901
80,7,640.0,56.0,23.901
81,7,648.0,56.0,23.848
82,7,656.0,56.0,23.848
83,7,664.0,56.0,23.848
84,7,672.0,56.0,23.848
85,7,680.0,56.0,23.784
86,7,688.0,56.0,23.784
87,7,696.0,56.0,23.784
88,7,704.0,56.0,23.730
89,7,712.0,56.0,23.730
90,7,720.0,56.0,23.730
91,7,728.0,56.0,23.777
92,7,736.0,56.0,23.777
93,7,744.0,56.0,23.777
94,7,752.0,56.0,23.777
95,7,760.0,56.0,24.114
96,7,768.0,56.0,24.114
4,8,32.0,64.0,23.976
5,8,40.0,64.0,23.976
6,8,48.0,64.0,23.976
7,8,56.0,64.0,23.740
8,8,64.0,64.0,23.740
9,8,72.0,64.0,23.740
10,8,80.0,64.0,23.740
11,8,88.0,64.0,23.746
12,8,96.0,64.0,23.746
13,8,104.0,64.0,23.746
14,8,112.0,64.0,23.809
15,8,120.0,64.0,23.809
16,8,128.0,64.0,23.809
17,8,136.0,64.0,23.809
18,8,144.0,64.0,23.871
19,8,152.0,64.0,23.871
20,8,160.0,64.0,23.871
21,8,168.0,64.0,23.871
22,8,176.0,64.0,23.918
23,8,184.0,64.0,23.918
24,8,192.0,64.0,23.918
25,8,200.0,64.0,23.967
26,8,208.0,64.0,23.967
27,8,216.0,64.0,23.967
28,8,224.0,64.0,24.035
29,8,232.0,64.0,24.035
30,8,240.0,64.0,24.035
31,8,248.0,64.0,24.035
32,8,256.0,64.0,24.102
33,8,264.0,64.0,24.102
34,8,272.0,64.0,24.102
35,8,280.0,64.0,24.161
36,8,288.0,64.0,24.161
37,8,296.0,64.0,24.161
38,8,304.0,64.0,24.161
39,8,312.0,64.0,24.208
40,8,320.0,64.0,24.208
41,8,328.0,64.0,24.208
42,8,336.0,64.0,24.208
43,8,344.0,64.0,23.752
44,8,352.0,64.0,23.752
45,8,360.0,64.0,23.752
46,8,368.0,64.0,21.836
47,8,376.0,64.0,21.836
48,8,384.0,64.0,21.836
49,8,392.0,64.0,21.836
50,8,400.0,64.0,21.323
51,8,408.0,64.0,21.323
52,8,416.0,64.0,21.323
53,8,424.0,64.0,22.449
54,8,432.0,64.0,22.449
55,8,440.0,64.0,22.449
56,8,448.0,64.0,24.084
57,8,456.0,64.0,24.084
58,8,464.0,64.0,24.084
59,8,472.0,64.0,24.084
60,8,480.0,64.0,24.193
61,8,488.0,64.0,24.193
62,8,496.0,64.0,24.193
63,8,504.0,64.0,24.126
64,8,512.0,64.0,24.126
65,8,520.0,64.0,24.126
66,8,528.0,64.0,24.126
67,8,536.0,64.0,24.057
68,8,544.0,64.0,24.057
69,8,552.0,64.0,24.057
70,8,560.0,64.0,23.995
71,8,568.0,64.0,23.995
72,8,576.0,64.0,23.995
73,8,584.0,64.0,23.995
74,8,592.0,64.0,23.945
75,8,600.0,64.0,23.945
76,8,608.0,64.0,23.945
77,8,616.0,64.0,23.901
78,8,624.0,64.0,23.901
79,8,632.0,64.0,23.901
80,8,640.0,64.0,23.901
81,8,648.0,64.0,23.848
82,8,656.0,64.0,23.848
83,8,664.0,64.0,23.848
84,8,672.0,64.0,23.848
85,8,680.0,64.0,23.784
86,8,688.0,64.0,23.784
87,8,696.0,64.0,23.784
88,8,704.0,64.0,23.730
89,8,712.0,64.0,23.730
90,8,720.0,64.0,23.730
91,8,728.0,64.0,23.777
92,8,736.0,64.0,23.777
93,8,744.0,64.0,23.777
94,8,752.0,64.0,23.777
95,8,760.0,64.0,24.114
96,8,768.0,64.0,24.114
4,9,32.0,72.0,23.976
5,9,40.0,72.0,23.976
6,9,48.0,72.0,23.976
7,9,56.0,72.0,23.740
8,9,64.0,72.0,23.740
9,9,72.0,72.0,23.740
10,9,80.0,72.0,23.740
11,9,88.0,72.0,23.746
12,9,96.0,72.0,23.746
13,9,104.0,72.0,23.746
14,9,112.0,72.0,23.809
15,9,120.0,72.0,23.809
16,9,128.0,72.0,23.809
17,9,136.0,72.0,23.809
18,9,144.0,72.0,23.871
19,9,152.0,72.0,23.871
20,9,160.0,72.0,23.871
21,9,168.0,72.0,23.871
22,9,176.0,72.0,23.918
23,9,184.0,72.0,23.918
24,9,192.0,72.0,23.918
25,9,200.0,72.0,23.967
26,9,208.0,72.0,23.967
27,9,216.0,72.0,23.967
28,9,224.0,72.0,24.035
29,9,232.0,72.0,24.035
30,9,240.0,72.0,24.035
31,9,248.0,72.0,24.035
32,9,256.0,72.0,24.102
33,9,264.0,72.0,24.102
34,9,272.0,72.0,24.102
35,9,280.0,72.0,24.161
